days,miles,receipts,reimbursement,case_id,miles_per_day,receipts_per_day,reimbursement_per_day,cost_per_mile,sequence,cluster_kmeans,cluster_dbscan,cluster_gmm,trip_length_bucket,efficiency_bucket,receipt_bucket,efficiency_category,cents,outlier_zscore,outlier_iqr,outlier_iforest,outlier_lof,outlier_count,is_outlier
1,451.0,555.49,162.18,83,451.0,555.49,162.18,1.2316851441241685,83,2,-1,3,short(1-3),very_high(200+),high(500-1000),high,18,False,False,False,False,0,False
10,424.0,474.99,831.96,84,42.4,47.499,83.196,1.1202594339622642,84,1,0,0,long(7-10),low(<50),medium(100-500),low,96,False,False,False,False,0,False
2,565.0,389.49,415.96,85,282.5,194.745,207.98,0.6893628318584071,85,1,-1,2,short(1-3),very_high(200+),medium(100-500),high,96,False,False,False,False,0,False
9,397.0,348.49,913.29,86,44.111111111111114,38.721111111111114,101.47666666666666,0.877808564231738,86,1,0,0,long(7-10),low(<50),medium(100-500),low,29,False,False,False,False,0,False
1,532.0,413.99,355.57,87,532.0,413.99,355.57,0.7781766917293234,87,2,-1,3,short(1-3),very_high(200+),medium(100-500),high,57,False,False,False,True,1,False
2,384.0,495.49,290.36,88,192.0,247.745,145.18,1.2903385416666666,88,1,-1,2,short(1-3),high(100-200),medium(100-500),optimal,36,False,False,False,False,0,False
5,754.0,489.99,765.13,89,150.8,97.998,153.026,0.6498541114058356,89,1,0,1,medium(4-6),high(100-200),medium(100-500),low,13,False,False,False,False,0,False
1,344.46,813.85,707.88,90,344.46,813.85,707.88,2.3626836207397086,90,2,2,3,short(1-3),very_high(200+),high(500-1000),high,88,False,False,False,False,0,False
3,906.3,540.03,848.42,91,302.09999999999997,180.01,282.8066666666667,0.5958622972525653,91,1,0,2,short(1-3),very_high(200+),high(500-1000),high,42,False,False,False,False,0,False
3,1007.56,187.52,764.64,92,335.8533333333333,62.50666666666667,254.88,0.1861129858271468,92,1,0,2,short(1-3),very_high(200+),medium(100-500),high,64,False,False,False,False,0,False
1,359.62,221.15,255.57,93,359.62,221.15,255.57,0.6149546743785107,93,1,-1,3,short(1-3),very_high(200+),medium(100-500),high,57,False,False,False,False,0,False
1,362.79,749.19,636.51,94,362.79,749.19,636.51,2.0650789713057143,94,2,2,3,short(1-3),very_high(200+),high(500-1000),high,51,False,False,False,False,0,False
1,288.72,159.26,303.94,95,288.72,159.26,303.94,0.5516070933776669,95,1,-1,3,short(1-3),very_high(200+),medium(100-500),high,94,False,False,False,False,0,False
2,782.17,830.72,1165.44,96,391.085,415.36,582.72,1.0620709053019166,96,2,1,2,short(1-3),very_high(200+),high(500-1000),high,44,False,False,False,False,0,False
2,623.18,347.54,625.15,97,311.59,173.77,312.575,0.5576879874193653,97,1,-1,2,short(1-3),very_high(200+),medium(100-500),high,15,False,False,False,False,0,False
3,1061.15,388.5,693.36,98,353.7166666666667,129.5,231.12,0.3661122367243085,98,1,0,2,short(1-3),very_high(200+),medium(100-500),high,36,False,False,False,False,0,False
1,252.75,285.5,331.74,99,252.75,285.5,331.74,1.129574678536103,99,1,-1,3,short(1-3),very_high(200+),medium(100-500),high,74,False,False,False,True,1,False
3,1020.39,250.62,779.08,100,340.13,83.54,259.6933333333333,0.24561197189309972,100,1,0,2,short(1-3),very_high(200+),medium(100-500),high,8,False,False,False,False,0,False
1,257.97,816.81,738.01,101,257.97,816.81,738.01,3.166298406791487,101,2,-1,3,short(1-3),very_high(200+),high(500-1000),high,1,False,False,False,False,0,False
3,1025.03,592.55,992.4,102,341.6766666666667,197.51666666666665,330.8,0.5780806415421987,102,1,0,2,short(1-3),very_high(200+),high(500-1000),high,40,False,False,False,False,0,False
2,794.32,402.31,671.06,103,397.16,201.155,335.53,0.5064835330849028,103,1,1,2,short(1-3),very_high(200+),medium(100-500),high,6,False,False,False,False,0,False
1,276.85,485.54,361.66,104,276.85,485.54,361.66,1.7538016976702184,104,1,-1,3,short(1-3),very_high(200+),medium(100-500),high,66,False,False,False,False,0,False
2,851.68,473.96,650.68,105,425.84,236.98,325.34,0.5565000939319933,105,1,1,2,short(1-3),very_high(200+),medium(100-500),high,67,False,False,False,False,0,False
3,859.12,611.07,960.47,106,286.37333333333333,203.69000000000003,320.1566666666667,0.7112743272185492,106,1,0,2,short(1-3),very_high(200+),high(500-1000),high,47,False,False,False,False,0,False
3,1317.07,476.87,787.42,107,439.0233333333333,158.95666666666668,262.4733333333333,0.36206883461015743,107,1,-1,2,short(1-3),very_high(200+),medium(100-500),high,42,False,False,False,True,1,False
1,388.1,827.37,741.46,108,388.1,827.37,741.46,2.1318474619943313,108,2,2,3,short(1-3),very_high(200+),high(500-1000),high,46,False,False,False,False,0,False
1,264.39,758.27,636.19,109,264.39,758.27,636.19,2.8679980332085178,109,2,2,3,short(1-3),very_high(200+),high(500-1000),high,19,False,False,False,False,0,False
5,198.21,594.83,807.48,110,39.642,118.96600000000001,161.496,3.001009030825892,110,1,0,1,medium(4-6),low(<50),high(500-1000),low,48,False,False,False,False,0,False
6,72.85,457.75,666.59,111,12.141666666666666,76.29166666666667,111.09833333333334,6.283459162663006,111,1,0,1,medium(4-6),low(<50),medium(100-500),low,59,False,False,False,False,0,False
8,297.64,481.09,835.08,112,37.205,60.13625,104.385,1.6163486090579222,112,1,0,0,long(7-10),low(<50),medium(100-500),low,8,False,False,False,False,0,False
7,237.33,1262.27,1452.17,113,33.90428571428571,180.3242857142857,207.45285714285714,5.318628070618969,113,1,0,1,long(7-10),low(<50),very_high(1000+),low,17,False,False,False,False,0,False
5,195.73,1228.49,511.23,114,39.146,245.698,102.24600000000001,6.276452255658305,114,1,0,1,medium(4-6),low(<50),very_high(1000+),low,23,False,False,False,False,0,False
8,276.28,1179.9,1522.6,115,34.535,147.4875,190.325,4.270667438830173,115,1,0,0,long(7-10),low(<50),very_high(1000+),low,60,False,False,False,False,0,False
8,302.24,1046.04,1353.77,116,37.78,130.755,169.22125,3.460958178930651,116,1,0,0,long(7-10),low(<50),very_high(1000+),low,77,False,False,False,False,0,False
8,266.87,252.08,880.41,117,33.35875,31.51,110.05125,0.9445797579345749,117,1,0,0,long(7-10),low(<50),medium(100-500),low,41,False,False,False,False,0,False
9,310.69,239.64,828.16,118,34.52111111111111,26.626666666666665,92.01777777777778,0.771315459139335,118,1,0,0,long(7-10),low(<50),medium(100-500),low,16,False,False,False,False,0,False
6,222.08,709.07,1031.34,119,37.013333333333335,118.17833333333334,171.89,3.192858429394813,119,1,0,1,medium(4-6),low(<50),high(500-1000),low,33,False,False,False,False,0,False
8,264.94,720.67,1019.85,120,33.1175,90.08375,127.48125,2.7201253113912585,120,1,0,0,long(7-10),low(<50),high(500-1000),low,85,False,False,False,False,0,False
8,161.15,1230.37,1499.24,121,20.14375,153.79625,187.405,7.634936394663356,121,1,0,0,long(7-10),low(<50),very_high(1000+),low,24,False,False,False,False,0,False
9,259.96,554.74,835.54,122,28.88444444444444,61.63777777777778,92.83777777777777,2.1339436836436376,122,1,0,0,long(7-10),low(<50),high(500-1000),low,54,False,False,False,False,0,False
9,97.85,518.56,850.57,123,10.872222222222222,57.617777777777775,94.50777777777779,5.299540112416964,123,1,0,0,long(7-10),low(<50),high(500-1000),low,57,False,False,False,False,0,False
9,194.34,1054.93,1374.9,124,21.593333333333334,117.21444444444445,152.76666666666668,5.428270042194093,124,1,0,0,long(7-10),low(<50),very_high(1000+),low,90,False,False,False,False,0,False
9,332.35,374.61,830.45,125,36.92777777777778,41.623333333333335,92.27222222222223,1.1271551075673236,125,1,0,0,long(7-10),low(<50),medium(100-500),low,45,False,False,False,False,0,False
5,126.44,696.14,845.35,126,25.288,139.228,169.07,5.505694400506169,126,1,0,1,medium(4-6),low(<50),high(500-1000),low,35,False,False,False,False,0,False
5,66.13,848.03,1050.25,127,13.225999999999999,169.606,210.05,12.823680629063965,127,1,0,1,medium(4-6),low(<50),high(500-1000),low,25,False,False,False,False,0,False
6,135.34,1144.13,1478.11,128,22.55666666666667,190.68833333333336,246.35166666666666,8.453746120880746,128,1,0,1,medium(4-6),low(<50),very_high(1000+),low,11,False,False,False,False,0,False
6,233.7,346.98,648.57,129,38.949999999999996,57.830000000000005,108.09500000000001,1.4847240051347883,129,1,0,1,medium(4-6),low(<50),medium(100-500),low,57,False,False,False,False,0,False
9,849.0,1007.41,1785.47,130,94.33333333333333,111.93444444444444,198.38555555555556,1.1865842167255594,130,0,0,0,long(7-10),medium(50-100),very_high(1000+),low,47,False,False,False,False,0,False
6,806.0,1760.64,1718.76,131,134.33333333333334,293.44,286.46,2.184416873449132,131,2,0,1,medium(4-6),high(100-200),very_high(1000+),low,76,False,False,False,False,0,False
8,891.0,1194.36,2016.46,132,111.375,149.295,252.0575,1.3404713804713804,132,0,0,1,long(7-10),high(100-200),very_high(1000+),low,46,False,False,False,False,0,False
9,1182.0,1342.24,2164.15,133,131.33333333333334,149.13777777777779,240.4611111111111,1.1355668358714044,133,0,0,1,long(7-10),high(100-200),very_high(1000+),low,15,False,False,False,False,0,False
7,1010.0,1514.03,2063.98,134,144.28571428571428,216.29,294.8542857142857,1.499039603960396,134,0,0,1,long(7-10),high(100-200),very_high(1000+),low,98,False,False,False,False,0,False
8,892.0,1768.53,1902.37,135,111.5,221.06625,237.79625,1.9826569506726457,135,0,0,1,long(7-10),high(100-200),very_high(1000+),low,37,False,False,False,False,0,False
6,825.0,1692.73,1817.77,136,137.5,282.12166666666667,302.96166666666664,2.0517939393939395,136,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,77,False,False,False,False,0,False
8,1118.0,1758.52,1852.47,137,139.75,219.815,231.55875,1.5729159212880144,137,0,0,1,long(7-10),high(100-200),very_high(1000+),low,47,False,False,False,False,0,False
8,1064.0,1756.52,1857.04,138,133.0,219.565,232.13,1.6508646616541354,138,0,0,1,long(7-10),high(100-200),very_high(1000+),low,4,False,False,False,False,0,False
6,811.0,1252.04,1771.8,139,135.16666666666666,208.67333333333332,295.3,1.543822441430333,139,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,80,False,False,False,False,0,False
7,889.0,1417.96,1826.08,140,127.0,202.56571428571428,260.86857142857144,1.595005624296963,140,0,0,1,long(7-10),high(100-200),very_high(1000+),low,8,False,False,False,False,0,False
9,1012.0,1429.04,1880.76,141,112.44444444444444,158.78222222222223,208.97333333333333,1.412094861660079,141,0,0,1,long(7-10),high(100-200),very_high(1000+),low,76,False,False,False,False,0,False
6,909.0,1332.18,1720.21,142,151.5,222.03,286.70166666666665,1.4655445544554455,142,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,21,False,False,False,False,0,False
9,1096.0,1690.22,1894.85,143,121.77777777777777,187.8022222222222,210.5388888888889,1.5421715328467154,143,0,0,1,long(7-10),high(100-200),very_high(1000+),low,85,False,False,False,False,0,False
9,913.0,1021.29,1964.86,144,101.44444444444444,113.47666666666666,218.31777777777776,1.1186089813800657,144,0,0,0,long(7-10),high(100-200),very_high(1000+),low,86,False,False,False,False,0,False
6,1006.0,1219.71,1803.97,145,167.66666666666666,203.285,300.6616666666667,1.2124353876739562,145,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,97,False,False,False,False,0,False
6,907.0,1650.17,1737.86,146,151.16666666666666,275.02833333333336,289.6433333333333,1.8193715545755238,146,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,86,False,False,False,False,0,False
9,816.0,1171.81,1780.58,147,90.66666666666667,130.20111111111112,197.8422222222222,1.4360416666666667,147,0,0,0,long(7-10),medium(50-100),very_high(1000+),low,58,False,False,False,False,0,False
7,1006.0,1181.33,2279.82,148,143.71428571428572,168.76142857142855,325.68857142857144,1.1742842942345924,148,0,0,1,long(7-10),high(100-200),very_high(1000+),low,82,False,False,False,False,0,False
6,835.0,1404.28,1765.79,149,139.16666666666666,234.04666666666665,294.29833333333335,1.6817724550898203,149,0,0,1,medium(4-6),high(100-200),very_high(1000+),low,79,False,False,False,False,0,False
12,528.0,2476.41,1662.88,150,44.0,206.36749999999998,138.57333333333335,4.690170454545454,150,0,0,0,very_long(11+),low(<50),very_high(1000+),low,88,False,False,False,False,0,False
4,69.0,2321.49,322.0,151,17.25,580.3725,80.5,33.64478260869565,151,2,0,2,medium(4-6),low(<50),very_high(1000+),low,0,False,False,False,False,0,False
11,1179.0,31.36,1550.55,152,107.18181818181819,2.850909090909091,140.95909090909092,0.026598812553011025,152,0,0,0,very_long(11+),high(100-200),low(<100),low,55,False,False,False,False,0,False
13,756.0,954.4,1793.07,153,58.15384615384615,73.41538461538461,137.92846153846153,1.2624338624338625,153,0,0,0,very_long(11+),medium(50-100),high(500-1000),low,7,False,False,False,False,0,False
1,123.0,2076.65,1171.68,154,123.0,2076.65,1171.68,16.883333333333333,154,2,-1,3,short(1-3),high(100-200),very_high(1000+),low,68,False,False,True,True,2,True
3,1162.0,2152.66,1434.71,155,387.3333333333333,717.5533333333333,478.2366666666667,1.8525473321858863,155,2,5,2,short(1-3),very_high(200+),very_high(1000+),high,71,False,False,False,False,0,False
1,822.0,2170.53,1374.91,156,822.0,2170.53,1374.91,2.640547445255475,156,3,-1,3,short(1-3),very_high(200+),very_high(1000+),high,91,False,False,True,False,1,False
11,558.0,1549.86,1823.47,157,50.72727272727273,140.89636363636362,165.77,2.77752688172043,157,0,0,0,very_long(11+),medium(50-100),very_high(1000+),low,47,False,False,False,False,0,False
