days,miles,receipts,reimbursement,miles_per_day,receipts_per_day,efficiency_score,is_5_day,is_efficient,receipt_category,base_per_diem,reimbursement_minus_base,miles_tier,predicted,residual,abs_error
8,435.0,1129.65,1525.26,54.375,141.20625,54.375,0,0,very_high,800,725.26,"(400, 600]",1523.842727697724,1.4172723022759328,1.4172723022759328
9,218.0,1203.45,1561.63,24.22222222222222,133.71666666666667,24.22222222222222,0,0,very_high,900,661.6300000000001,"(200, 400]",1561.5102745807765,0.11972541922364144,0.11972541922364144
12,781.0,1159.18,1752.72,65.08333333333333,96.59833333333334,65.08333333333333,0,0,very_high,1200,552.72,"(600, 800]",1796.1328111386483,-43.412811138648294,43.412811138648294
11,916.0,1036.91,2098.07,83.27272727272727,94.26454545454546,83.27272727272727,0,0,very_high,1100,998.0700000000002,"(800, 1000]",1887.4636715312963,210.60632846870385,210.60632846870385
10,358.0,2066.62,1624.11,35.8,206.66199999999998,35.8,0,0,,1000,624.1099999999999,"(200, 400]",1594.9966336535426,29.11336634645727,29.11336634645727
12,566.0,2013.7,1752.03,47.166666666666664,167.80833333333334,47.166666666666664,0,0,,1200,552.03,"(400, 600]",1802.5493541583214,-50.51935415832145,50.51935415832145
9,954.0,1483.39,2024.2,106.0,164.82111111111112,106.0,0,0,very_high,900,1124.2,"(800, 1000]",1907.689100021419,116.51089997858094,116.51089997858094
9,534.0,1929.94,1624.87,59.333333333333336,214.4377777777778,59.333333333333336,0,0,very_high,900,724.8699999999999,"(400, 600]",1651.7420261699722,-26.872026169972287,26.872026169972287
12,765.0,1343.97,1953.03,63.75,111.9975,63.75,0,0,very_high,1200,753.03,"(600, 800]",1881.4213538676113,71.60864613238869,71.60864613238869
8,630.0,967.69,1388.05,78.75,120.96125,78.75,0,0,very_high,800,588.05,"(600, 800]",1572.4466742917223,-184.39667429172232,184.39667429172232
10,909.0,696.0,1505.19,90.9,69.6,90.9,0,0,high,1000,505.19000000000005,"(800, 1000]",1533.635418079827,-28.44541807982705,28.44541807982705
10,223.0,745.89,1037.45,22.3,74.589,22.3,0,0,high,1000,37.450000000000045,"(200, 400]",1074.5847791506712,-37.13477915067119,37.13477915067119
8,467.0,1178.71,1483.33,58.375,147.33875,58.375,0,0,very_high,800,683.3299999999999,"(400, 600]",1556.9487454987825,-73.61874549878257,73.61874549878257
9,708.0,461.07,1110.6,78.66666666666667,51.23,78.66666666666667,0,0,medium_high,900,210.5999999999999,"(600, 800]",1071.738761384246,38.86123861575402,38.86123861575402
9,885.0,1764.97,1694.37,98.33333333333333,196.10777777777778,98.33333333333333,0,0,very_high,900,794.3699999999999,"(800, 1000]",1790.9096835173723,-96.5396835173724,96.5396835173724
6,855.0,591.35,1339.72,142.5,98.55833333333334,142.5,0,0,medium_high,600,739.72,"(800, 1000]",1320.3675396901413,19.35246030985877,19.35246030985877
2,993.0,54.24,715.19,496.5,27.12,496.5,0,0,low,200,515.19,"(800, 1000]",694.187428699006,21.002571300994077,21.002571300994077
5,685.0,747.14,1216.36,137.0,149.428,137.0,1,0,high,500,716.3599999999999,"(600, 800]",1215.1909980823075,1.1690019176924125,1.1690019176924125
3,981.0,341.45,813.95,327.0,113.81666666666666,327.0,0,0,medium_high,300,513.95,"(800, 1000]",768.0774894393153,45.87251056068476,45.87251056068476
5,770.0,873.33,1502.49,154.0,174.666,154.0,1,0,very_high,500,1002.49,"(600, 800]",1435.822999694814,66.6670003051861,66.6670003051861
6,697.0,651.64,1237.71,116.16666666666667,108.60666666666667,116.16666666666667,0,0,high,600,637.71,"(600, 800]",1194.2276552842957,43.48234471570436,43.48234471570436
3,795.0,450.85,743.94,265.0,150.28333333333333,265.0,0,0,medium_high,300,443.94000000000005,"(600, 800]",776.1253404822216,-32.18534048222159,32.18534048222159
3,606.0,1184.23,1364.54,202.0,394.74333333333334,202.0,0,1,very_high,300,1064.54,"(600, 800]",1390.5743114527602,-26.03431145276022,26.03431145276022
3,842.0,865.37,1251.14,280.6666666666667,288.45666666666665,280.6666666666667,0,0,very_high,300,951.1400000000001,"(800, 1000]",1240.3836833335074,10.756316666492694,10.756316666492694
7,748.0,241.73,971.31,106.85714285714286,34.53285714285714,106.85714285714286,0,0,medium,700,271.30999999999995,"(600, 800]",1011.0906571144747,-39.78065711447471,39.78065711447471
7,624.0,148.16,905.79,89.14285714285714,21.165714285714284,89.14285714285714,0,0,medium,700,205.78999999999996,"(600, 800]",964.134043714126,-58.34404371412609,58.34404371412609
2,713.0,740.33,1048.28,356.5,370.165,356.5,0,0,high,200,848.28,"(600, 800]",987.1054157212778,61.174584278722136,61.174584278722136
3,874.0,1191.4,1515.99,291.3333333333333,397.1333333333334,291.3333333333333,0,0,very_high,300,1215.99,"(800, 1000]",1481.5681283749516,34.421871625048425,34.421871625048425
6,761.0,530.19,1120.1,126.83333333333333,88.36500000000001,126.83333333333333,0,0,medium_high,600,520.0999999999999,"(600, 800]",1126.8026043379311,-6.702604337931234,6.702604337931234
1,815.0,97.89,539.36,815.0,97.89,815.0,0,0,low,100,439.36,"(800, 1000]",566.6976158980925,-27.33761589809251,27.33761589809251
1,601.0,497.7,644.12,601.0,497.7,601.0,0,0,medium_high,100,544.12,"(600, 800]",580.8245229528153,63.295477047184704,63.295477047184704
7,817.0,1127.87,1809.91,116.71428571428571,161.1242857142857,116.71428571428571,0,0,very_high,700,1109.91,"(800, 1000]",1835.9012502045036,-25.991250204503558,25.991250204503558
1,606.0,923.0,1050.05,606.0,923.0,606.0,0,0,very_high,100,950.05,"(600, 800]",1010.3836167201567,39.66638327984322,39.66638327984322
1,909.0,741.82,866.07,909.0,741.82,909.0,0,0,high,100,766.07,"(800, 1000]",1013.8990087569946,-147.82900875699454,147.82900875699454
3,624.0,1160.92,1459.34,208.0,386.97333333333336,208.0,0,1,very_high,300,1159.34,"(600, 800]",1411.8348277408172,47.5051722591827,47.5051722591827
4,650.0,619.49,676.38,162.5,154.8725,162.5,0,0,high,400,276.38,"(600, 800]",979.9424838327096,-303.56248383270963,303.56248383270963
6,204.0,818.99,628.4,34.0,136.49833333333333,34.0,0,0,very_high,600,28.399999999999977,"(200, 400]",880.1971534721662,-251.7971534721662,251.7971534721662
1,263.0,396.49,198.42,263.0,396.49,263.0,0,0,medium_high,100,98.41999999999999,"(200, 400]",245.08630364527448,-46.666303645274496,46.666303645274496
1,451.0,555.49,162.18,451.0,555.49,451.0,0,0,medium_high,100,62.18000000000001,"(400, 600]",336.45350609248135,-174.27350609248134,174.27350609248134
10,424.0,474.99,831.96,42.4,47.499,42.4,0,0,medium_high,1000,-168.03999999999996,"(400, 600]",925.0939729565578,-93.13397295655773,93.13397295655773
2,565.0,389.49,415.96,282.5,194.745,282.5,0,0,medium_high,200,215.95999999999998,"(400, 600]",521.3054243287818,-105.3454243287818,105.3454243287818
9,397.0,348.49,913.29,44.111111111111114,38.721111111111114,44.111111111111114,0,0,medium_high,900,13.289999999999964,"(200, 400]",881.421419036982,31.868580963017962,31.868580963017962
1,532.0,413.99,355.57,532.0,413.99,532.0,0,0,medium_high,100,255.57,"(400, 600]",398.02823949162973,-42.45823949162974,42.45823949162974
2,384.0,495.49,290.36,192.0,247.745,192.0,0,1,medium_high,200,90.36000000000001,"(200, 400]",376.73742556793707,-86.37742556793705,86.37742556793705
5,754.0,489.99,765.13,150.8,97.998,150.8,1,0,medium_high,500,265.13,"(600, 800]",974.7595914306767,-209.62959143067667,209.62959143067667
1,344.46,813.85,707.88,344.46,813.85,344.46,0,0,very_high,100,607.88,"(200, 400]",678.6704790916953,29.20952090830474,29.20952090830474
3,906.3,540.03,848.42,302.09999999999997,180.01,302.09999999999997,0,0,medium_high,300,548.42,"(800, 1000]",881.0526200406416,-32.632620040641655,32.632620040641655
3,1007.56,187.52,764.64,335.8533333333333,62.50666666666667,335.8533333333333,0,0,medium,300,464.64,,770.2068041367268,-5.566804136726773,5.566804136726773
1,359.62,221.15,255.57,359.62,221.15,359.62,0,0,medium,100,155.57,"(200, 400]",263.1203742127621,-7.550374212762108,7.550374212762108
1,362.79,749.19,636.51,362.79,749.19,362.79,0,0,high,100,536.51,"(200, 400]",648.8194194698265,-12.30941946982648,12.30941946982648
1,288.72,159.26,303.94,288.72,159.26,288.72,0,0,medium,100,203.94,"(200, 400]",279.5076769160603,24.432323083939707,24.432323083939707
2,782.17,830.72,1165.44,391.085,415.36,391.085,0,0,very_high,200,965.44,"(600, 800]",1098.9594463874193,66.4805536125807,66.4805536125807
2,623.18,347.54,625.15,311.59,173.77,311.59,0,0,medium_high,200,425.15,"(600, 800]",626.4867497131966,-1.336749713196582,1.336749713196582
3,1061.15,388.5,693.36,353.7166666666667,129.5,353.7166666666667,0,0,medium_high,300,393.36,,747.9933194030646,-54.63331940306455,54.63331940306455
1,252.75,285.5,331.74,252.75,285.5,252.75,0,0,medium,100,231.74,"(200, 400]",242.49396619764042,89.24603380235959,89.24603380235959
3,1020.39,250.62,779.08,340.13,83.54,340.13,0,0,medium,300,479.08000000000004,,770.2068041367268,8.873195863273281,8.873195863273281
1,257.97,816.81,738.01,257.97,816.81,257.97,0,0,very_high,100,638.01,"(200, 400]",638.19609649608,99.81390350391996,99.81390350391996
3,1025.03,592.55,992.4,341.6766666666667,197.51666666666665,341.6766666666667,0,0,medium_high,300,692.4,,956.402669970643,35.99733002935693,35.99733002935693
2,794.32,402.31,671.06,397.16,201.155,397.16,0,0,medium_high,200,471.05999999999995,"(600, 800]",649.9097772404277,21.150222759572216,21.150222759572216
1,276.85,485.54,361.66,276.85,485.54,276.85,0,0,medium_high,100,261.66,"(200, 400]",310.9418000153646,50.71819998463542,50.71819998463542
2,851.68,473.96,650.68,425.84,236.98,425.84,0,0,medium_high,200,450.67999999999995,"(800, 1000]",708.0749798285625,-57.394979828562555,57.394979828562555
3,859.12,611.07,960.47,286.37333333333333,203.69000000000003,286.37333333333333,0,0,high,300,660.47,"(800, 1000]",940.1121885288271,20.35781147117291,20.35781147117291
3,1317.07,476.87,787.42,439.0233333333333,158.95666666666668,439.0233333333333,0,0,medium_high,300,487.41999999999996,,807.9767159863776,-20.55671598637764,20.55671598637764
1,388.1,827.37,741.46,388.1,827.37,388.1,0,0,very_high,100,641.46,"(200, 400]",659.5431363101266,81.91686368987348,81.91686368987348
1,264.39,758.27,636.19,264.39,758.27,264.39,0,0,high,100,536.19,"(200, 400]",642.9597416523571,-6.769741652357084,6.769741652357084
5,198.21,594.83,807.48,39.642,118.96600000000001,39.642,1,0,medium_high,500,307.48,"(100, 200]",701.7316062667668,105.74839373323323,105.74839373323323
6,72.85,457.75,666.59,12.141666666666666,76.29166666666667,12.141666666666666,0,0,medium_high,600,66.59000000000003,"(0, 100]",654.0415361185245,12.548463881475527,12.548463881475527
8,297.64,481.09,835.08,37.205,60.13625,37.205,0,0,medium_high,800,35.08000000000004,"(200, 400]",813.0956649674821,21.984335032517947,21.984335032517947
7,237.33,1262.27,1452.17,33.90428571428571,180.3242857142857,33.90428571428571,0,0,very_high,700,752.1700000000001,"(200, 400]",1485.2842209209768,-33.11422092097678,33.11422092097678
5,195.73,1228.49,511.23,39.146,245.698,39.146,1,0,very_high,500,11.230000000000018,"(100, 200]",1232.6985622543054,-721.4685622543054,721.4685622543054
8,276.28,1179.9,1522.6,34.535,147.4875,34.535,0,0,very_high,800,722.5999999999999,"(200, 400]",1511.4457209379389,11.15427906206105,11.15427906206105
8,302.24,1046.04,1353.77,37.78,130.755,37.78,0,0,very_high,800,553.77,"(200, 400]",1453.6289548207465,-99.85895482074648,99.85895482074648
8,266.87,252.08,880.41,33.35875,31.51,33.35875,0,0,medium,800,80.40999999999997,"(200, 400]",794.7999613288694,85.61003867113061,85.61003867113061
9,310.69,239.64,828.16,34.52111111111111,26.626666666666665,34.52111111111111,0,0,medium,900,-71.84000000000003,"(200, 400]",827.1665925963903,0.9934074036096945,0.9934074036096945
6,222.08,709.07,1031.34,37.013333333333335,118.17833333333334,37.013333333333335,0,0,high,600,431.3399999999999,"(200, 400]",953.3813485134328,77.95865148656708,77.95865148656708
8,264.94,720.67,1019.85,33.1175,90.08375,33.1175,0,0,high,800,219.85000000000002,"(200, 400]",1097.6964829614722,-77.84648296147213,77.84648296147213
8,161.15,1230.37,1499.24,20.14375,153.79625,20.14375,0,0,very_high,800,699.24,"(100, 200]",1487.9704169809877,11.269583019012316,11.269583019012316
9,259.96,554.74,835.54,28.88444444444444,61.63777777777778,28.88444444444444,0,0,medium_high,900,-64.46000000000004,"(200, 400]",855.3834043319995,-19.843404331999523,19.843404331999523
9,97.85,518.56,850.57,10.872222222222222,57.617777777777775,10.872222222222222,0,0,medium_high,900,-49.42999999999995,"(0, 100]",824.5867218307525,25.98327816924757,25.98327816924757
9,194.34,1054.93,1374.9,21.593333333333334,117.21444444444445,21.593333333333334,0,0,very_high,900,474.9000000000001,"(100, 200]",1426.3819003915073,-51.481900391507224,51.481900391507224
9,332.35,374.61,830.45,36.92777777777778,41.623333333333335,36.92777777777778,0,0,medium_high,900,-69.54999999999995,"(200, 400]",846.3230544852831,-15.873054485283092,15.873054485283092
5,126.44,696.14,845.35,25.288,139.228,25.288,1,0,high,500,345.35,"(100, 200]",843.6343992368661,1.7156007631339207,1.7156007631339207
5,66.13,848.03,1050.25,13.225999999999999,169.606,13.225999999999999,1,0,very_high,500,550.25,"(0, 100]",936.8092676297963,113.4407323702037,113.4407323702037
6,135.34,1144.13,1478.11,22.55666666666667,190.68833333333336,22.55666666666667,0,0,very_high,600,878.1099999999999,"(100, 200]",1413.4202819231766,64.68971807682328,64.68971807682328
6,233.7,346.98,648.57,38.949999999999996,57.830000000000005,38.949999999999996,0,0,medium_high,600,48.57000000000005,"(200, 400]",712.8455131051818,-64.27551310518174,64.27551310518174
9,849.0,1007.41,1785.47,94.33333333333333,111.93444444444444,94.33333333333333,0,0,very_high,900,885.47,"(800, 1000]",1816.6352255543009,-31.165225554300832,31.165225554300832
6,806.0,1760.64,1718.76,134.33333333333334,293.44,134.33333333333334,0,0,very_high,600,1118.76,"(800, 1000]",1758.869916249234,-40.10991624923395,40.10991624923395
8,891.0,1194.36,2016.46,111.375,149.295,111.375,0,0,very_high,800,1216.46,"(800, 1000]",1949.7395768736005,66.72042312639951,66.72042312639951
9,1182.0,1342.24,2164.15,131.33333333333334,149.13777777777779,131.33333333333334,0,0,very_high,900,1264.15,,2121.4374742538444,42.712525746155734,42.712525746155734
7,1010.0,1514.03,2063.98,144.28571428571428,216.29,144.28571428571428,0,0,very_high,700,1363.98,,1909.189233532593,154.7907664674069,154.7907664674069
8,892.0,1768.53,1902.37,111.5,221.06625,111.5,0,0,very_high,800,1102.37,"(800, 1000]",1816.8282783529326,85.54172164706733,85.54172164706733
6,825.0,1692.73,1817.77,137.5,282.12166666666667,137.5,0,0,very_high,600,1217.77,"(800, 1000]",1780.3363232611405,37.4336767388595,37.4336767388595
8,1118.0,1758.52,1852.47,139.75,219.815,139.75,0,0,very_high,800,1052.47,,1845.9143590824929,6.555640917507162,6.555640917507162
8,1064.0,1756.52,1857.04,133.0,219.565,133.0,0,0,very_high,800,1057.04,,1845.9143590824929,11.125640917507098,11.125640917507098
6,811.0,1252.04,1771.8,135.16666666666666,208.67333333333332,135.16666666666666,0,0,very_high,600,1171.8,"(800, 1000]",1721.8562460962048,49.94375390379514,49.94375390379514
7,889.0,1417.96,1826.08,127.0,202.56571428571428,127.0,0,0,very_high,700,1126.08,"(800, 1000]",1878.8993950915592,-52.81939509155927,52.81939509155927
9,1012.0,1429.04,1880.76,112.44444444444444,158.78222222222223,112.44444444444444,0,0,very_high,900,980.76,,1959.851343127098,-79.09134312709807,79.09134312709807
6,909.0,1332.18,1720.21,151.5,222.03,151.5,0,0,very_high,600,1120.21,"(800, 1000]",1774.8340633557293,-54.62406335572928,54.62406335572928
9,1096.0,1690.22,1894.85,121.77777777777777,187.8022222222222,121.77777777777777,0,0,very_high,900,994.8499999999999,,1863.943207886959,30.906792113040865,30.906792113040865
9,913.0,1021.29,1964.86,101.44444444444444,113.47666666666666,101.44444444444444,0,0,very_high,900,1064.86,"(800, 1000]",1892.9998570040325,71.86014299596741,71.86014299596741
6,1006.0,1219.71,1803.97,167.66666666666666,203.285,167.66666666666666,0,0,very_high,600,1203.97,,1803.904851578693,0.06514842130695797,0.06514842130695797
6,907.0,1650.17,1737.86,151.16666666666666,275.02833333333336,151.16666666666666,0,0,very_high,600,1137.86,"(800, 1000]",1797.7890391691099,-59.929039169109956,59.929039169109956
9,816.0,1171.81,1780.58,90.66666666666667,130.20111111111112,90.66666666666667,0,0,very_high,900,880.5799999999999,"(800, 1000]",1791.502931166607,-10.922931166606986,10.922931166606986
7,1006.0,1181.33,2279.82,143.71428571428572,168.76142857142855,143.71428571428572,0,0,very_high,700,1579.8200000000002,,2012.0053396292328,267.81466037076734,267.81466037076734
6,835.0,1404.28,1765.79,139.16666666666666,234.04666666666665,139.16666666666666,0,0,very_high,600,1165.79,"(800, 1000]",1754.9876283274102,10.802371672589743,10.802371672589743
12,528.0,2476.41,1662.88,44.0,206.36749999999998,44.0,0,0,,1200,462.8800000000001,"(400, 600]",1730.9121010483063,-68.03210104830623,68.03210104830623
4,69.0,2321.49,322.0,17.25,580.3725,17.25,0,0,,400,-78.0,"(0, 100]",636.9710725689941,-314.97107256899415,314.97107256899415
11,1179.0,31.36,1550.55,107.18181818181819,2.850909090909091,107.18181818181819,0,0,very_low,1100,450.54999999999995,,1466.273793200642,84.27620679935785,84.27620679935785
13,756.0,954.4,1793.07,58.15384615384615,73.41538461538461,58.15384615384615,0,0,very_high,1300,493.06999999999994,"(600, 800]",1802.0246483364645,-8.954648336464516,8.954648336464516
1,123.0,2076.65,1171.68,123.0,2076.65,123.0,0,0,,100,1071.68,"(100, 200]",1230.4712786492419,-58.791278649241804,58.791278649241804
3,1162.0,2152.66,1434.71,387.3333333333333,717.5533333333333,387.3333333333333,0,0,,300,1134.71,,1475.5380593611624,-40.82805936116233,40.82805936116233
1,822.0,2170.53,1374.91,822.0,2170.53,822.0,0,0,,100,1274.91,"(800, 1000]",1421.5024725103478,-46.59247251034776,46.59247251034776
11,558.0,1549.86,1823.47,50.72727272727273,140.89636363636362,50.72727272727273,0,0,very_high,1100,723.47,"(400, 600]",1779.1879774159408,44.28202258405918,44.28202258405918
2,753.0,1111.16,1353.87,376.5,555.58,376.5,0,0,very_high,200,1153.87,"(600, 800]",1386.6800530714306,-32.81005307143073,32.81005307143073
10,224.0,407.51,794.7,22.4,40.751,22.4,0,0,medium_high,1000,-205.29999999999995,"(200, 400]",818.2535283258572,-23.5535283258572,23.5535283258572
6,383.0,462.79,800.3,63.833333333333336,77.13166666666667,63.833333333333336,0,0,medium_high,600,200.29999999999995,"(200, 400]",868.0877190864041,-67.7877190864042,67.7877190864042
8,1005.0,1391.37,1987.39,125.625,173.92125,125.625,0,0,very_high,800,1187.39,,1941.2836079147032,46.106392085296875,46.106392085296875
10,1145.0,311.43,1366.61,114.5,31.143,114.5,0,0,medium_high,1000,366.6099999999999,,1327.6115380839651,38.998461916034785,38.998461916034785
5,1004.0,2367.63,1743.85,200.8,473.526,200.8,1,1,,500,1243.85,,1738.3050666520905,5.544933347909364,5.544933347909364
5,873.0,1402.35,1676.79,174.6,280.46999999999997,174.6,1,0,very_high,500,1176.79,"(800, 1000]",1698.4453528253066,-21.655352825306636,21.655352825306636
2,165.0,1813.32,1273.45,82.5,906.66,82.5,0,0,very_high,200,1073.45,"(100, 200]",1323.9599632440531,-50.5099632440531,50.5099632440531
5,1076.0,190.33,879.65,215.2,38.066,215.2,1,1,medium,500,379.65,,960.5178230850152,-80.86782308501517,80.86782308501517
12,986.0,2390.92,1760.0,82.16666666666667,199.24333333333334,82.16666666666667,0,0,,1200,560.0,"(800, 1000]",1811.6252147049822,-51.62521470498223,51.62521470498223
7,948.0,657.17,1578.97,135.42857142857142,93.88142857142857,135.42857142857142,0,0,high,700,878.97,"(800, 1000]",1401.3532343574655,177.61676564253457,177.61676564253457
3,429.0,2400.13,1411.95,143.0,800.0433333333334,143.0,0,0,,300,1111.95,"(400, 600]",1438.4718151307873,-26.521815130787218,26.521815130787218
4,362.0,646.43,788.53,90.5,161.6075,90.5,0,0,high,400,388.53,"(200, 400]",773.3099112429987,15.220088757001236,15.220088757001236
2,622.0,1871.56,1494.23,311.0,935.78,311.0,0,0,very_high,200,1294.23,"(600, 800]",1484.2919643564976,9.938035643502417,9.938035643502417
1,140.0,255.99,150.34,140.0,255.99,140.0,0,0,medium,100,50.34,"(100, 200]",182.1585918031145,-31.818591803114487,31.818591803114487
